,File,A42.csv,A129.csv,A108.csv,A669.csv
0,Average,65486.8074714042,235256.842837594,324007.165047339,7292.39585307688
1,Min,0.0,0.0,0.0,0.0
2,Max,154114.0,2973720.0,1656075.0,178209.0
3,Variance,1560380249.72662,211744451523.405,57832740808.2057,391219505.191596
4,Median,73544.0,25003.0,409722.0,3153.0
5,0,0.014912940112575513,0.003974203535971146,0.02255494286659306,0.00013543189975379543
6,1,0.014962070072904067,0.006135850548289188,0.02336110391627995,0.0001402713920799676
7,2,0.014977448149917477,0.008642856275340866,0.02379224867868611,0.00014282043765634838
8,4,0.01509208472401744,0.009780165268732844,0.024179081487045874,0.0001491006948735184
9,8,0.03092171799882088,0.013089909493626097,0.02525079774705365,0.0004543211956279805
10,16,0.05848302659728291,0.02536167844063959,0.03082154890325276,0.000984301019378103
11,32,0.07260309702488132,0.06331850100204915,0.042128746272388745,0.0017887650262080675
12,64,0.08470724135672186,0.11180225072106353,0.06846798276687006,0.002878204939939499
13,128,0.10556151150919249,0.1563614634226107,0.09494368952934902,0.008803405968202319
14,256,0.13768531581377588,0.19258993185034445,0.12486480897591382,0.01575686981636343
15,512,0.1537659912029411,0.21342639337144673,0.13867995743942318,0.0205587175419221
16,1K,0.16702149415792847,0.23093472319973968,0.15068227221149885,0.03827702251527627
17,2K,0.1806818199974117,0.2500701743125173,0.16845943689001824,0.17459865000329713
18,4K,0.1916270165252416,0.2813820645109724,0.18112163051110147,0.6853024433340703
19,8K,0.20081212223853676,0.31429963525641597,0.1994372381836108,0.9050526701160055
20,16K,0.21010846936607172,0.342632687802032,0.21561859224087135,0.9557249993581207
21,32K,0.2464556528213379,0.5299438558004557,0.2416961244448477,0.9629791397562263
22,64K,0.44891762303659904,0.5810023938312013,0.2652816367569769,0.9746472296400064
23,128K,0.9974977671831038,0.6447756284493888,0.3000224724909807,0.9851745292716324
24,256K,1.0,0.7555677897429004,0.3850900825099135,1.0
25,512K,1.0,0.8803872142911472,0.8691977584481532,1.0
26,>512K,1.0,1.0,1.0,1.0
